id,name,record_type,record_id,blob_id,created_at
435,video,Spree::Product,2433,435,2020-08-17 14:30:01.993652
436,attachment,Spree::Asset,212,436,2020-08-17 14:32:55.142893
438,video,Spree::Product,2434,438,2020-08-17 14:40:53.198012
440,video,Spree::Post,1,440,2020-08-17 16:00:34.927442
443,video,Spree::Product,2435,443,2020-08-18 06:44:57.845993
445,video,Spree::Product,1135,445,2020-08-18 06:58:32.724424
448,video,Spree::Product,2436,448,2020-08-18 07:25:47.176220
451,video,Spree::Product,2437,451,2020-08-18 07:30:25.549991
452,attachment,Spree::Asset,217,452,2020-08-18 07:32:18.404497
454,video,Spree::Product,1025,454,2020-08-18 07:34:07.267630
455,attachment,Spree::Asset,218,455,2020-08-18 07:35:08.655853
457,video,Spree::Product,2438,457,2020-08-18 07:37:25.670503
458,attachment,Spree::Asset,219,458,2020-08-18 07:38:21.950948
460,video,Spree::Product,2439,460,2020-08-18 07:40:36.619628
461,attachment,Spree::Asset,220,461,2020-08-18 07:41:51.621872
463,video,Spree::Product,36,463,2020-08-18 07:50:07.542436
464,attachment,Spree::Asset,221,464,2020-08-18 07:50:47.893448
466,video,Spree::Product,72,466,2020-08-18 08:02:00.504169
467,attachment,Spree::Asset,222,467,2020-08-18 08:02:50.393521
469,video,Spree::Product,2440,469,2020-08-18 08:05:28.962116
470,attachment,Spree::Asset,223,470,2020-08-18 08:06:39.441966
472,video,Spree::Product,24,472,2020-08-18 08:14:20.096305
473,attachment,Spree::Asset,224,473,2020-08-18 08:14:56.406062
475,video,Spree::Product,87,475,2020-08-18 08:17:23.105216
476,attachment,Spree::Asset,225,476,2020-08-18 08:17:36.816076
478,video,Spree::Product,2441,478,2020-08-18 08:20:38.190044
479,attachment,Spree::Asset,226,479,2020-08-18 08:21:37.381370
481,video,Spree::Product,1035,481,2020-08-18 08:26:06.758865
482,attachment,Spree::Asset,227,482,2020-08-18 08:26:29.483603
484,video,Spree::Product,2442,484,2020-08-18 08:30:24.666011
487,video,Spree::Product,2443,487,2020-08-18 08:33:44.651654
490,video,Spree::Product,2444,490,2020-08-18 08:55:27.841925
493,video,Spree::Product,2445,493,2020-08-18 09:13:48.873967
496,video,Spree::Product,2446,496,2020-08-18 09:20:57.618450
499,video,Spree::Product,2244,499,2020-08-18 09:43:05.146055
500,attachment,Spree::Asset,233,500,2020-08-18 09:43:33.882204
502,video,Spree::Product,2245,502,2020-08-18 09:44:29.506081
508,video,Spree::Product,2448,508,2020-08-18 09:51:29.054133
509,attachment,Spree::Asset,236,509,2020-08-18 09:52:25.667259
511,video,Spree::Product,2449,511,2020-08-18 09:56:21.694914
515,video,Spree::Product,2450,515,2020-08-18 10:04:10.502475
516,attachment,Spree::Asset,237,516,2020-08-18 10:07:44.778344
518,video,Spree::Product,490,518,2020-08-18 10:34:59.509035
521,video,Spree::Product,2451,521,2020-08-18 10:47:46.442066
524,video,Spree::Product,1965,524,2020-08-19 07:21:32.138382
526,video,Spree::Product,2452,526,2020-08-19 07:29:07.494086
528,video,Spree::Product,2453,528,2020-08-19 07:40:47.557217
529,attachment,Spree::Asset,240,529,2020-08-19 07:43:05.155910
531,video,Spree::Product,2455,531,2020-08-19 07:52:06.227113
532,attachment,Spree::Asset,241,532,2020-08-19 07:53:48.560418
534,video,Spree::Product,2456,534,2020-08-19 08:46:11.478239
